Listening for transport dt_socket at address: 1044
TLC2 Version 2.05 of 23 July 2013
Running in Model-Checking mode.
Parsing file l12_n10.tla
Parsing file GridPerformanceTest.tla
Parsing file /mnt/tlc/40281/tla/tla2sany/StandardModules/TLC.tla
Parsing file /mnt/tlc/40281/tla/tla2sany/StandardModules/Integers.tla
Parsing file /mnt/tlc/40281/tla/tla2sany/StandardModules/FiniteSets.tla
Parsing file /mnt/tlc/40281/tla/tla2sany/StandardModules/Naturals.tla
Parsing file /mnt/tlc/40281/tla/tla2sany/StandardModules/Sequences.tla
Semantic processing of module Naturals
Semantic processing of module Integers
Semantic processing of module Sequences
Semantic processing of module FiniteSets
Semantic processing of module GridPerformanceTest
Semantic processing of module TLC
Semantic processing of module l12_n10
Starting... (2014-07-04 17:25:11)
Computing initial states...
Finished computing initial states: 1 distinct state generated.
Progress(8) at 2014-07-04 17:25:19: 46098 states generated (46,096 s/min), 13587 distinct states found (13,587 ds/min), 8971 states left on queue.
Progress(20) at 2014-07-04 18:13:19: 60979644 states generated (1,296,386 s/min), 9494069 distinct states found (183,463 ds/min), 3396098 states left on queue.
Progress(20) at 2014-07-04 18:14:19: 62268250 states generated (1,288,609 s/min), 9675059 distinct states found (180,990 ds/min), 3448226 states left on queue.
Progress(20) at 2014-07-04 18:15:19: 63519029 states generated (1,250,779 s/min), 9838606 distinct states found (163,547 ds/min), 3486696 states left on queue.
Progress(20) at 2014-07-04 18:16:19: 64791031 states generated (1,271,998 s/min), 10031945 distinct states found (193,339 ds/min), 3552835 states left on queue.
Progress(20) at 2014-07-04 18:17:19: 66083702 states generated (1,292,668 s/min), 10212438 distinct states found (180,493 ds/min), 3604061 states left on queue.
Progress(20) at 2014-07-04 18:18:19: 67376006 states generated (1,292,311 s/min), 10381920 distinct states found (169,482 ds/min), 3644311 states left on queue.
Progress(20) at 2014-07-04 18:19:19: 68667590 states generated (1,291,583 s/min), 10582800 distinct states found (200,880 ds/min), 3716033 states left on queue.
Progress(20) at 2014-07-04 18:20:19: 69907984 states generated (1,240,394 s/min), 10765034 distinct states found (182,234 ds/min), 3774226 states left on queue.
Progress(20) at 2014-07-04 18:21:19: 71172259 states generated (1,264,275 s/min), 10948638 distinct states found (183,604 ds/min), 3831405 states left on queue.
Progress(20) at 2014-07-04 18:22:19: 72457309 states generated (1,285,049 s/min), 11122560 distinct states found (173,922 ds/min), 3876820 states left on queue.
Progress(20) at 2014-07-04 18:23:19: 73744045 states generated (1,286,737 s/min), 11301343 distinct states found (178,783 ds/min), 3926930 states left on queue.
Progress(20) at 2014-07-04 18:24:19: 75032324 states generated (1,288,275 s/min), 11483237 distinct states found (181,894 ds/min), 3979999 states left on queue.
Progress(20) at 2014-07-04 18:25:19: 76245699 states generated (1,213,379 s/min), 11652445 distinct states found (169,208 ds/min), 4027866 states left on queue.
Progress(20) at 2014-07-04 18:26:19: 77500573 states generated (1,254,871 s/min), 11837755 distinct states found (185,310 ds/min), 4087690 states left on queue.
Progress(20) at 2014-07-04 18:27:19: 78793136 states generated (1,292,566 s/min), 12018033 distinct states found (180,278 ds/min), 4138710 states left on queue.
Progress(20) at 2014-07-04 18:28:19: 80088011 states generated (1,294,875 s/min), 12196989 distinct states found (178,956 ds/min), 4188182 states left on queue.
Progress(21) at 2014-07-04 18:29:19: 81374125 states generated (1,286,114 s/min), 12375075 distinct states found (178,086 ds/min), 4237654 states left on queue.
Progress(21) at 2014-07-04 18:30:19: 82642331 states generated (1,268,205 s/min), 12577748 distinct states found (202,673 ds/min), 4313508 states left on queue.
Progress(21) at 2014-07-04 18:31:19: 83892355 states generated (1,250,024 s/min), 12776227 distinct states found (198,479 ds/min), 4386985 states left on queue.
Progress(21) at 2014-07-04 18:32:19: 85185422 states generated (1,293,069 s/min), 12967257 distinct states found (191,030 ds/min), 4448707 states left on queue.
